"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZIsOHS","ZZMigrateValues"
*,166,Y,MQA/SP/0014/09,Skills Programme: Solvent Extraction (Version 2),46,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,24,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,167,Y,MQA/SP/0085/09,Skills Programme: Generic Management for Middle Managers in the South African Mining and Minerals Sector,65,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,168,Y,MQA/SP/0086/09,Skills Programme: Operation and Maintenance of Medium Voltage Switchgear and Distribution Networks,54,2015-07-01 00:00:00.000,2015-07-01 00:00:00.000,36,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,169,Y,MQA/SP/0087/09,Skills Programme: Water Analysis in a Laboratory,15,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:102;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,170,Y,MQA/SP/0090/09,Skills Programme: Water Reticulation,14,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,171,Y,MQA/SP/0091/09,Skills Programme: Electrowinning,26,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,13,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,172,Y,MQA/SP/0092/09,Skills Programme: Gold Elution and Carbon Regeneration,34,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,17,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,173,Y,MQA/SP/0093/09,Skills Programme: Diamond Recovery,19,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,174,Y,MQA/SP/0094/09,Skills Programme: Relining of a mill,32,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,16,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,175,Y,MQA/SP/0095/09,Skills Programme: Grading Room Operator,14,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,7,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,176,Y,MQA/SP/0096/09,Skills Programme: Backfilling,36,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,18,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,177,Y,MQA/SP/0036/05,Skills Programme: Gathering Arm Loader Operation in an Underground Coal Mine,78,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,39,Y,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1256;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,178,Y,"57876",Further Education and Training Certificate: Jewellery Manufacturing Operations,150,2007-02-08 00:00:00.000,2015-06-30 00:00:00.000,10,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:65;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1272;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
