"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZGrantName","ZZGrantDescription","ZZGrantPercentage","ZZPayable","ZZMinimumAmount","ZZMigrateValues"
*,261,Y,NOC,NOC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:33;C_Year:C_Year_ID:20
*,262,Y,Vacation Work,VAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:34;C_Year:C_Year_ID:20
*,263,Y,Practical Training (1 & 2),PTL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:35;C_Year:C_Year_ID:20
*,264,Y,Practical Training 3,PTL3,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:36;C_Year:C_Year_ID:20
*,265,Y,MANDATORY GRANTS,MAN,20.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:1;C_Year:C_Year_ID:21
*,266,Y,LEARNERSHIPS,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:2;C_Year:C_Year_ID:21
*,267,Y,ABET,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:4;C_Year:C_Year_ID:21
*,268,Y,GDP NSF,NSF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:5;C_Year:C_Year_ID:21
*,269,Y,GDP 1,GDP1,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:6;C_Year:C_Year_ID:21
*,270,Y,PRACTICAL TRAINING,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:7;C_Year:C_Year_ID:21
*,271,Y,MODERATOR ,MOD,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:8;C_Year:C_Year_ID:21
*,272,Y,ASSESSOR ,ASS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:9;C_Year:C_Year_ID:21
*,273,Y,Artisan Grant,APP,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:10;C_Year:C_Year_ID:21
*,274,Y,PRACTICAL TRAINING 02,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:11;C_Year:C_Year_ID:21
*,275,Y,GDP 2,GDP 2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:13;C_Year:C_Year_ID:21
*,276,Y,LEARNERSHIPS NSF 2,NSL2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:15;C_Year:C_Year_ID:21
*,277,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:21
*,278,Y,DISABLITY,DLRN,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:17;C_Year:C_Year_ID:21
