"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","IsActive","ZZMigrationCode/K",_LOG_
*,OUT3394,Millwright Diamond,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3343,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT3814,Millwright Opencast,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3344,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1773,Plater/Welder Metalliferous,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3345,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1333,Plater/Welder Underground Diamonds,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3346,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1623.1,Plater/Welder Underground Diamonds,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3347,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1523,Plater/Welder Diamonds Opencast,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3348,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1463.1,Plater/Welder: Open Cast,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3349,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1323,Plater/Boilermaker Opencast,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3350,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1343,Plater/Boilermaker Coal,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3351,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1733,Plater/Boilermaker Metalliferous,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3352,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
