"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues",_LOG_
*,73,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:930,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000072] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000072] / "
*,74,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1010,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000073] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000073] / "
*,75,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1138,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000074] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000074] / "
*,76,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1009,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000075] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000075] / "
*,77,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:981,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000076] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000076] / "
*,78,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1139,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000077] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000077] / "
*,79,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:704,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000078] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000078] / "
*,80,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:2266,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000079] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000079] / "
*,81,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:830,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000080] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000080] / "
*,82,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:828,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000081] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000081] / "
*,83,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:824,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000082] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000082] / "
*,84,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:825,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000083] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000083] / "
*,85,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:826,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000084] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000084] / "
*,86,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:6;ZZUnitStandard:ZZUnitStandard_id:827,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000085] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000085] / "
*,87,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:7;ZZUnitStandard:ZZUnitStandard_id:983,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000086] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000086] / "
