"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues"
*,175,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:565
*,176,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:544
*,177,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:580
*,178,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:543
*,179,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:546
*,180,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:704
*,181,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:2265
*,182,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:80
*,183,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:81
*,184,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:28
*,185,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:541
*,186,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:566
*,187,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:557
*,188,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:576
*,189,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:82
*,190,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:2291
*,191,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:2290
*,192,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:2292
*,193,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:2316
*,194,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:2289
*,195,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:2222
*,196,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:2293
*,197,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:81
*,198,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:15;ZZUnitStandard:ZZUnitStandard_id:576
*,199,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:581
*,200,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:582
*,201,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:585
*,202,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:584
