"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K"
*,"16Q160191002144","311701004-WM-02",Core,Y,398
*,"16Q160191002144","311701004-WM-03",Core,Y,399
*,"16Q160191002144","311701004-WM-04",Core,Y,400
*,"16Q160191002144","311701004-WM-05",Core,Y,401
*,"16Q160191002144","311701004-WM-06",Core,Y,402
*,"16Q160191002144","311701004-WM-07",Core,Y,403
*,"16Q160191002144","311701004-WM-08",Core,Y,404
*,"16Q160191002144","311701004-WM-09",Core,Y,405
*,"32Q320050145404","311704001-KM-01",Core,Y,406
*,"32Q320050145404","311704001-KM-02",Core,Y,407
*,"32Q320050145404","311704001-KM-03",Core,Y,408
*,"32Q320050145404","311704001-KM-05",Core,Y,409
*,"32Q320050145404","311704001-PM-01",Core,Y,411
*,"32Q320050145404","311704001-PM-02",Core,Y,412
*,"32Q320050145404","311704001-PM-03",Core,Y,413
*,"32Q320050145404","311704001-PM-04",Core,Y,414
*,"32Q320050145404","311704001-PM-05",Core,Y,415
*,"32Q320050145404","311704001-PM-06",Core,Y,416
*,"32Q320050145404","311704001-WM-01",Core,Y,417
*,"32Q320050145404","311704001-WM-02",Core,Y,418
*,"32Q320050145404","311704001-KM-04",Core,Y,410
*,"32Q320048113264","311704003-KM-01",Core,Y,419
*,"32Q320048113264","311704003-KM-02",Core,Y,420
*,"32Q320048113264","311704003-KM-03",Core,Y,421
*,"32Q320048113264","311704003-KM-04",Core,Y,422
*,"32Q320048113264","311704003-KM-05",Core,Y,423
*,"32Q320048113264","311704003-KM-06",Core,Y,424
*,"32Q320048113264","311704003-PM-01",Core,Y,425
*,"32Q320048113264","311704003-PM-02",Core,Y,426
*,"32Q320048113264","311704003-PM-03",Core,Y,427
*,"32Q320048113264","311704003-WM-01",Core,Y,428
*,"32Q320048113264","311704003-WM-02",Core,Y,429
*,"32Q320049145684","311704002-KM-01",Core,Y,430
*,"32Q320049145684","311704002-KM-02",Core,Y,431
*,"32Q320049145684","311704002-KM-03",Core,Y,432
*,"32Q320049145684","311704002-KM-04",Core,Y,433
*,"32Q320049145684","311704002-KM-05",Core,Y,434
*,"32Q320049145684","311704002-KM-06",Core,Y,435
*,"32Q320049145684","311704002-PM-01",Core,Y,436
*,"32Q320049145684","311704002-PM-02",Core,Y,437
*,"32Q320049145684","311704002-PM-03",Core,Y,438
*,"32Q320049145684","311704002-PM-04",Core,Y,439
*,"32Q320049145684","311704002-PM-05",Core,Y,440
*,"32Q320049145684","311704002-PM-06",Core,Y,441
*,"32Q320049145684","311704002-WM-01",Core,Y,442
*,"32Q320049145684","311704002-WM-02",Core,Y,443
