"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,MQA/SP/0136/12,Skills Programme: Lamproom Shift Supervisor,,28,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,9,,N,Y,301,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:873
*,MQA/SP/0137/12,Skills Programme: Gold Leaching,,18,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,302,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,MQA/SP/0138/12,Skills Programme: Platinum Group Metals Separation Process Operations,,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,303,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,MQA/SP/0139/12,Skills Programme: Lamproom Equipment Repairer,,24,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,4,,N,Y,304,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:873
*,MQA/SP/0066/08 A,Skills Programme: Operate Mining Machinery in an Underground Coal Mine: Cut a coalface using an arc wall type coalcutter in an underground coal mine,,29,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,305,
*,MQA/SP/0066/08 B,Skills Programme: Operate mobile machinery in an underground coal mine: Place and operate and auxiliary fan in an underground coal mine,,38,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,306,
*,MQA/SP/0066/08 C,Skills Programme: Operate mining machinery in an underground coal mine: Operate a belt conveyor unit to convey coal in an underground coal mine,,27,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,307,
*,MQA/SP/0066/08 D,Skills Programme: Operate mining machinery in an underground coal mine: Deliver compressed air using a mobile compressor in an underground coal mine,,28,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,308,
*,MQA/SP/0066/08 E,Skills Programme: Operate mining machinery in an underground coal mine: Cut and load coalsurface using a continuous miner in an underground coal mine,,53,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,309,
*,MQA/SP/0066/08 F,Skills Programme: Operate mining machinery in an underground coal mine: Operate a locomotive underground,,33,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,310,
*,MQA/SP/0066/08 G,"Skills Programme: Operate mining machinery in an underground coal mine: Transport personnel, material or equipment using approved self-propelled mobile machines in an underground coal mine",,37,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,311,
