AD_Org_ID[Name],Value,Name,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZQualityAssuranceBody,ZZSkillsProgrammeType,ZZQualification_ID[Value],ZZAetLevel,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,MQA/SP/0030/05,Skills Programme: Crushing (Version 1),,12,2005-06-22 00:00:00.000,2009-07-22 00:00:00.000,,1,,,,4,Y
*,MQA/SP/0025/05,Skills Programme: Determine the Physical Properties of a Coal Sample in a Laboratory,,29,2005-09-02 00:00:00.000,2026-06-30 23:59:59.000,,1,,,,0,Y
*,MQA/SP/0031/05,SkillsProgramme: Primary Sample Preparation in an analytical laboratory (Analytical Services),,23,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0035/05,Skills Programme: Secondary Sample Preparation in and Analytical Laboratory (Analytical Services),,18,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0032/05,Skills Programme: The Separation of Precious Metals by Means of the Fire Assay Technique ,,34,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0038/05,Skills Programme: Tube Set Gemstones into Jewellery,,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,,0,Y
*,MQA/SP/0039/05,Skills Programme: Channel Set Gemstones into Jewellery,,20,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,,0,Y
*,MQA/SP/0040/05,Skills Programme: Pave Set Gemstones into Jewellery,,34,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,,17,Y
*,MQA/SP/0041/05,Skills Programme: Gas Testing Operations in Underground Coal Mines,,42,2005-10-07 00:00:00.000,2008-10-07 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0005/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Longwall Mining) V2,,22,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,1,,,2021-711101,0,Y
*,MQA/SP/0006/05,Skills Programme: To examine and declare a working place safe for the purpose of regulation 1.1 (Underground Coal Conventional Mining) V2,,28,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,,1,,,,4,Y
*,MQA/SP/0007/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Continuous Mining) V2,,24,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,1,,,2021-711101,0,Y
*,MQA/SP/0011/05,"Skills Programme: Competent Person B: To install, maintain and remove any support unit in Underground Coal Mining Operations - Timber Support V3",,23,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,,1,,,2021-711101,3,Y
*,MQA/SP/0017/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Roofbolter Machine Support  V3",,18,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,1,,,2021-711101,3,Y
*,MQA/SP/0008(C)/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Compressed Air / Hydraulic Support V3",,17,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,,1,,,2021-711101,2,Y
*,MQA/SP/0044/06,Skills Programme: Conduct Occupational Health and Safety Representative activities in the Mining and Minerals Sector,,13,2006-06-12 00:00:00.000,2009-06-12 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0045/06,Skills Programme: Operate a Small-Scale Surface Mine,,67,2006-07-31 00:00:00.000,2009-12-31 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0046/06,"Skills Programme: Competent Person B: The Installation, Maintenance and Removal of Support Units in Surface Mines",,20,2006-09-05 00:00:00.000,2009-09-05 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0047/06,Skills Programme: Intermediate Generic Management,,49,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,,1,,,,9,Y
*,MQA/SP/0048/06,Skills Programme: Advanced Generic Management,,63,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,,1,,,,9,Y
*,MQA/SP/0050/06,Skills Programme: Adsorption of Gold onto Activated Carbon (CIP/CIL/CIS Processes (Version 1),,16,2006-11-03 00:00:00.000,2009-11-03 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0051/06,Skills Programme: Handling of Chemicals (Version 1),,7,2006-11-06 00:00:00.000,2009-11-06 00:00:00.000,,1,,,,4,Y
*,MQA/SP/0052/06,Skills Programme: Milling of Material,,19,2006-11-06 00:00:00.000,2015-06-30 00:00:00.000,,1,,,,8,Y
