ID,Description,Code,ProvinceID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted
197,Agisanag Community Creche,300071112,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
198,Agisanang,300074049,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
199,Agisanang Day Care Centre,700700588,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
200,Agisanang Primary,922250010,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
201,Agisanang Public School,600100014,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
202,Agnes Chidi Primary School,700220525,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
203,Agnes Senior Primary School,200601018,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
204,Agonkitse,600100015,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
205,Agterwitzenberg Vgk Prim.,126336831,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
206,Agulhas School Of Skills,113008387,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
207,Aha Sechaba,445203067,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
208,Aha Setjhaba P/S,443011166,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
209,Aha Thuto Secondary School,700330696,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
210,Ahanang Intermediary School,700320267,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
211,Ahitirheni,975503310,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
212,Ahmed Timol Secondary,700250027,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
213,Ai Kajee Primary School,500100048,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
214,Ailsa,200600008,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
215,Airlie Primary School,800000026,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
